Date,Open,High,Low,Close,Adjusted_close,Volume
1980-12-11,22,22,22,22,0.4435,0
1980-12-12,28.75,28.876,28.75,28.75,0.5793,2093900
1980-12-15,27.25,27.376,27.25,27.25,0.5493,785200
1980-12-16,25.25,25.376,25.25,25.25,0.5093,472000
1980-12-17,25.876,26,25.876,25.876,0.5216,385900
1980-12-18,26.626,26.75,26.626,26.626,0.5368,327900
1980-12-19,28.25,28.376,28.25,28.25,0.5695,217100
1980-12-22,29.626,29.75,29.626,29.626,0.5975,166800
1980-12-23,30.876,31,30.876,30.876,0.6227,209600
1980-12-24,32.5,32.626,32.5,32.5,0.6557,214300
1980-12-26,35.5,35.626,35.5,35.5,0.7159,248100
1980-12-29,36,36.126,36,36,0.7257,415900
1980-12-30,35.126,35.25,35.126,35.126,0.7081,307500
1980-12-31,34.126,34.25,34.126,34.126,0.6878,159600
1981-01-02,34.5,34.75,34.5,34.5,0.6958,96700
1981-01-05,33.75,33.876,33.75,33.75,0.6807,159500
1981-01-06,32.25,32.376,32.25,32.25,0.6502,201600
1981-01-07,30.876,31,30.876,30.876,0.6227,248600
1981-01-08,30.25,30.376,30.25,30.25,0.6097,177800
1981-01-09,31.876,32,31.876,31.876,0.6425,96000
1981-01-12,31.626,31.876,31.626,31.626,0.6379,105800
1981-01-13,30.5,30.626,30.5,30.5,0.6149,102900
1981-01-14,30.626,30.75,30.626,30.626,0.6174,63800
1981-01-15,31.25,31.5,31.25,31.25,0.6301,62800
1981-01-16,31,31.126,31,31,0.6252,59800
1981-01-19,32.876,33,32.876,32.876,0.6628,185600
1981-01-20,31.876,32,31.876,31.876,0.6425,134300
1981-01-21,32.5,32.75,32.5,32.5,0.6557,71000
1981-01-22,32.876,33.126,32.876,32.876,0.6628,158700
1981-01-23,32.75,33,32.75,32.75,0.66,50100
1981-01-26,32.25,32.376,32.25,32.25,0.6502,110000
1981-01-27,32,32.25,32,32,0.645,105800
1981-01-28,31,31.126,31,31,0.6252,125700
1981-01-29,29.876,30,29.876,29.876,0.6024,196000
1981-01-30,28.25,28.5,28.25,28.25,0.5695,206200
1981-02-02,26.626,26.75,26.626,26.626,0.5368,106100
1981-02-03,27.626,27.75,27.626,27.626,0.5568,85500
1981-02-04,28.626,28.75,28.626,28.626,0.5775,124400
1981-02-05,28.626,28.876,28.626,28.626,0.5775,35400
