Date,Open,High,Low,Volume,Intraday_change,Price_range,Open_change,Close_change,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,BollingerBand_Up_20_2,BollingerBand_Down_20_2,BollingerBand_Up_20_1,BollingerBand_Down_20_1,BollingerBand_Up_10_1,BollingerBand_Down_10_1,BollingerBand_Up_10_2,BollingerBand_Down_10_2,Donchian_Channel_Up_5,Donchian_Channel_Down_5,Donchian_Channel_Up_10,Donchian_Channel_Down_10,Donchian_Channel_Up_20,Donchian_Channel_Down_20,Donchian_Channel_Up_50,Donchian_Channel_Down_50,Donchian_Channel_Up_100,Donchian_Channel_Down_100,Donchian_Channel_Up_200,Donchian_Channel_Down_200,Target
1986-12-24,0.171875,0.171875,0.171007,7027200,-0.00043399999999998995,0.0008680000000000077,0.0017359999999999876,-0.00043399999999998995,0.16927100000000003,0.16649310000000025,0.16835944999999997,0.15289933999999997,0.12786897000000003,0.11660592999999993,0.17622461764568378,0.16049428235431615,0.17229203382284186,0.16442686617715807,0.1709109091968748,0.16207529080312572,0.1753287183937493,0.1576574816062512,0.171875,0.162326,0.171875,0.157118,0.177951,0.157118,0.177951,0.116319,0.177951,0.091146,0.177951,0.088542,0.165799
1986-12-26,0.171441,0.172743,0.171007,3715200,-0.0004340000000000177,0.0017360000000000153,-0.00043399999999998995,-0.0004340000000000177,0.17057300000000003,0.16657990000000025,0.16814244999999997,0.15388891999999998,0.12860682,0.11697485499999993,0.1754128801031084,0.16087201989689154,0.17177766505155417,0.16450723494844577,0.17108496760215552,0.16207483239784498,0.17559003520431082,0.15756976479568968,0.172743,0.164931,0.172743,0.157118,0.176215,0.157118,0.177951,0.12065999999999999,0.177951,0.091146,0.177951,0.08941,0.175347
1986-12-29,0.171007,0.172743,0.16406300000000001,41702400,-0.006943999999999978,0.008679999999999993,-0.0004340000000000177,-0.006943999999999978,0.16970500000000002,0.16657990000000025,0.16770844999999995,0.15473962,0.12928391,0.11729169999999993,0.17485784398167686,0.16055905601832304,0.1712831469908384,0.1641337530091615,0.17108496760215552,0.16207483239784498,0.17559003520431082,0.15756976479568968,0.172743,0.16406300000000001,0.172743,0.157118,0.173611,0.157118,0.177951,0.121528,0.177951,0.091146,0.177951,0.08941,0.177951
1986-12-30,0.16406300000000001,0.166667,0.162326,25401600,0.0017359999999999876,0.0043410000000000115,-0.006943999999999978,0.0017359999999999876,0.168837,0.16718760000000027,0.16753484999999996,0.1555556,0.12998704000000003,0.11760853999999993,0.17469309751487294,0.16037660248512697,0.17111397375743645,0.16395572624256347,0.17102523130647482,0.16334996869352572,0.17486286261294934,0.1595123373870512,0.172743,0.162326,0.172743,0.16059,0.173611,0.157118,0.177951,0.122396,0.177951,0.091146,0.177951,0.08941,0.1875
1986-12-31,0.165799,0.170139,0.165799,23356800,0.0017359999999999876,0.0043400000000000105,0.0017359999999999876,0.0017359999999999876,0.16796899999999998,0.16779530000000026,0.16740464999999996,0.15638893999999998,0.13069885,0.11794708499999994,0.17445741015471775,0.16035188984528218,0.17093103007735885,0.16387826992264107,0.17106377066004058,0.16452682933995993,0.17433224132008093,0.16125835867991958,0.172743,0.162326,0.172743,0.161458,0.172743,0.157118,0.177951,0.126736,0.177951,0.091146,0.177951,0.08941,0.193576
1987-01-02,0.167535,0.169271,0.164931,12643200,-0.0017359999999999876,0.0043400000000000105,0.0017359999999999876,-0.0017359999999999876,0.1668406,0.16805580000000025,0.16725274999999995,0.15708339999999998,0.13135858,0.11828562999999993,0.17430648041655605,0.16019901958344385,0.170779615208278,0.1637258847917219,0.17100501371065263,0.16510658628934788,0.17395422742130504,0.16215737257869547,0.172743,0.162326,0.172743,0.162326,0.172743,0.157118,0.177951,0.126736,0.177951,0.091146,0.177951,0.08941,0.201389
1987-01-05,0.165799,0.177083,0.164931,48499200,0.009548000000000001,0.012151999999999996,-0.0017359999999999876,0.009548000000000001,0.16770859999999999,0.16914080000000026,0.16746974999999995,0.15796881999999995,0.13208774,0.11868493499999992,0.17524037614492452,0.15969912385507537,0.17135506307246223,0.16358443692753766,0.17258890807383984,0.16569269192616068,0.17603701614767944,0.16224458385232107,0.177083,0.162326,0.177083,0.162326,0.177083,0.157118,0.177951,0.126736,0.177951,0.091146,0.177951,0.08941,0.21441
1987-01-06,0.175347,0.178819,0.174479,40032000,0.002603999999999995,0.0043400000000000105,0.009548000000000001,0.002603999999999995,0.17048619999999998,0.17009560000000026,0.16786034999999996,0.15890631999999996,0.13283426,0.11911027999999993,0.17688076934548475,0.15883993065451518,0.17237055967274234,0.1633501403272576,0.17450473053157145,0.16568646946842908,0.17891386106314264,0.1612773389368579,0.178819,0.162326,0.178819,0.162326,0.178819,0.157118,0.178819,0.126736,0.178819,0.091146,0.178819,0.08941,0.208333
1987-01-07,0.177951,0.1875,0.177951,60998400,0.009549000000000002,0.009549000000000002,0.002603999999999995,0.009549000000000002,0.1748264,0.17183170000000025,0.16881519999999997,0.16005215999999997,0.13365023000000004,0.11959638999999993,0.18141164433706655,0.1562187556629334,0.17511342216853326,0.16251697783146668,0.17888494757430481,0.1647784524256957,0.18593819514860938,0.15772520485139113,0.1875,0.164931,0.1875,0.162326,0.1875,0.157118,0.1875,0.131076,0.1875,0.091146,0.1875,0.08941,0.208333
1987-01-08,0.188368,0.19531300000000001,0.188368,61488000,0.00520799999999999,0.006945000000000007,0.01041700000000001,0.006075999999999998,0.1800346,0.17400180000000026,0.17011724999999997,0.16123269999999998,0.13452262000000004,0.12010419999999992,0.18685822442771616,0.15337627557228378,0.17848773721385808,0.16174676278614186,0.18385321884648514,0.16415038115351538,0.19370463769297,0.15429896230703052,0.19531300000000001,0.164931,0.19531300000000001,0.162326,0.19531300000000001,0.157118,0.19531300000000001,0.131944,0.19531300000000001,0.091146,0.19531300000000001,0.090278,0.21961799999999998
1987-01-09,0.193576,0.202257,0.192708,63705600,0.007813000000000014,0.009549000000000002,0.00520799999999999,0.007813000000000014,0.18715259999999997,0.17699660000000025,0.17174484999999998,0.16250873999999998,0.13548616000000002,0.12063805499999992,0.19353107326899016,0.1499586267310098,0.18263796163449506,0.1608517383655049,0.19002335382263558,0.16396984617736493,0.20305010764527087,0.15094309235472964,0.202257,0.164931,0.202257,0.162326,0.202257,0.157118,0.202257,0.131944,0.202257,0.091146,0.202257,0.090278,0.21441
1987-01-12,0.201389,0.216146,0.199653,128793600,0.013020999999999977,0.016493000000000008,0.007813000000000014,0.013020999999999977,0.19496519999999998,0.18133690000000027,0.17395839999999999,0.16412332,0.13657991000000003,0.12122833499999991,0.20288399579989524,0.14503280420010473,0.18842119789994763,0.15949560210005234,0.19866629694693505,0.1640075030530655,0.2159956938938698,0.14667810610613075,0.216146,0.174479,0.216146,0.162326,0.216146,0.157118,0.216146,0.13281300000000001,0.216146,0.091146,0.216146,0.090278,0.22222199999999998
1987-01-13,0.21267399999999997,0.21267399999999997,0.20486100000000002,76320000,-0.004340999999999984,0.007812999999999959,0.011284999999999962,-0.006076999999999999,0.2010416,0.18576390000000026,0.1761719,0.16556427999999998,0.13762157000000003,0.1217925699999999,0.20848608289820922,0.14385771710179077,0.1923289914491046,0.1600148085508954,0.20382918435948036,0.16769861564052016,0.22189446871896046,0.14963333128104006,0.216146,0.177951,0.216146,0.162326,0.216146,0.157118,0.216146,0.133681,0.216146,0.091146,0.216146,0.090278,0.225694
1987-01-14,0.208333,0.20920100000000003,0.203993,69465600,0.0,0.005208000000000018,-0.004340999999999984,0.0,0.20520819999999995,0.19001730000000025,0.17860245,0.16703995999999996,0.13866323000000003,0.12236114499999991,0.21295531291585837,0.14424958708414162,0.19577888145792918,0.1614260185420708,0.20786555985324298,0.17216904014675752,0.2257138197064857,0.1543207802935148,0.216146,0.188368,0.216146,0.164931,0.216146,0.16059,0.216146,0.135417,0.216146,0.091146,0.216146,0.090278,0.23524299999999998
1987-01-15,0.208333,0.22482600000000003,0.208333,117014400,0.01128499999999999,0.016493000000000035,0.0,0.01128499999999999,0.21041659999999998,0.19522560000000025,0.18151045,0.16868925999999998,0.13983510000000002,0.1229818049999999,0.21941553937068958,0.1436053606293104,0.2004629946853448,0.1625579053146552,0.21338087825424015,0.17707032174576035,0.23153615650848003,0.15891504349152047,0.22482600000000003,0.192708,0.22482600000000003,0.164931,0.22482600000000003,0.161458,0.22482600000000003,0.137153,0.22482600000000003,0.091146,0.22482600000000003,0.090278,0.258681
1987-01-16,0.21961799999999998,0.21961799999999998,0.210069,65433600,-0.00520799999999999,0.009548999999999974,0.01128499999999999,-0.00520799999999999,0.21302079999999995,0.20008670000000026,0.18407125,0.17013024,0.14095489000000005,0.1235720849999999,0.2236493251845735,0.14449317481542648,0.20386028759228675,0.16428221240771324,0.2158359174059537,0.1843374825940468,0.23158513481190718,0.16858826518809333,0.22482600000000003,0.199653,0.22482600000000003,0.164931,0.22482600000000003,0.162326,0.22482600000000003,0.140625,0.22482600000000003,0.091146,0.22482600000000003,0.090278,0.234375
1987-01-19,0.21441,0.22222199999999998,0.210069,88243200,0.007811999999999986,0.01215299999999997,-0.00520799999999999,0.007811999999999986,0.21458319999999995,0.20477420000000027,0.1869575,0.17155383999999999,0.14216148000000003,0.12420142499999988,0.22887529888003819,0.1450397011199618,0.20791639944001908,0.16599860055998092,0.2192676193021061,0.19028078069789445,0.23376103860421193,0.1757873613957886,0.22482600000000003,0.203993,0.22482600000000003,0.174479,0.22482600000000003,0.162326,0.22482600000000003,0.140625,0.22482600000000003,0.091146,0.22482600000000003,0.090278,0.238715
1987-01-20,0.22222199999999998,0.23090300000000002,0.221354,95760000,0.0034720000000000306,0.00954900000000003,0.007811999999999986,0.0034720000000000306,0.21805539999999998,0.20954850000000022,0.18982205,0.17297743999999998,0.14340279000000003,0.12485680499999989,0.23416133489072655,0.14548276510927344,0.21199169244536328,0.1676524075546367,0.2219346364996871,0.19716236350031335,0.23432077299937398,0.18477622700062646,0.23090300000000002,0.203993,0.23090300000000002,0.177951,0.23090300000000002,0.162326,0.23090300000000002,0.140625,0.23090300000000002,0.091146,0.23090300000000002,0.090278,0.24826399999999998
1987-01-21,0.225694,0.241319,0.221354,108489600,0.009548999999999974,0.01996500000000001,0.0034720000000000306,0.009548999999999974,0.22343739999999998,0.21432280000000023,0.19307724999999998,0.17460937999999998,0.14473959000000003,0.12555558999999988,0.24076500982808385,0.1453894901719161,0.21692112991404192,0.16923337008595804,0.2264649166450588,0.20218068335494166,0.23860703329011737,0.1900385667098831,0.241319,0.208333,0.241319,0.188368,0.241319,0.162326,0.241319,0.140625,0.241319,0.091146,0.241319,0.090278,0.24913200000000002
1987-01-22,0.23524299999999998,0.259549,0.22829899999999997,116035200,0.023438000000000014,0.03125,0.009548999999999974,0.023438000000000014,0.23125,0.22083330000000023,0.19741755,0.17683161999999997,0.14633682000000003,0.1263628849999999,0.2522467279888847,0.1425883720111153,0.22483213899444235,0.17000296100555765,0.2372995384023254,0.20436706159767506,0.25376577680465057,0.18790082319534993,0.259549,0.210069,0.259549,0.192708,0.259549,0.162326,0.259549,0.140625,0.259549,0.091146,0.259549,0.090278,0.238715
1987-01-23,0.258681,0.269097,0.234375,317894400,-0.024305999999999994,0.034721999999999975,0.023438000000000014,-0.024305999999999994,0.235243,0.22413190000000024,0.20056425,0.17855035999999994,0.14771703000000003,0.12704430999999988,0.25633194796547437,0.14479655203452563,0.22844809898273719,0.1726804010172628,0.23954013113685213,0.20872366886314836,0.25494836227370404,0.19331543772629647,0.269097,0.210069,0.269097,0.199653,0.269097,0.162326,0.269097,0.140625,0.269097,0.091146,0.269097,0.090278,0.253906
1987-01-26,0.23611100000000002,0.241319,0.22829899999999997,116553600,0.002603999999999995,0.013020000000000032,-0.02256999999999998,0.0043400000000000105,0.23854160000000002,0.22656240000000025,0.20394964999999998,0.18035589999999996,0.14916668000000005,0.12773875499999987,0.26037902212508685,0.1475202778749131,0.2321643360625434,0.17573496393745655,0.24218218960023305,0.21094261039976744,0.2578019792004658,0.19532282079953467,0.269097,0.221354,0.269097,0.203993,0.269097,0.162326,0.269097,0.140625,0.269097,0.095486,0.269097,0.090278,0.253472
1987-01-27,0.238715,0.251736,0.238715,114105600,0.009548999999999974,0.013021000000000005,0.002603999999999995,0.009548999999999974,0.2430556,0.23055550000000022,0.2081597,0.18239583999999998,0.15063369000000004,0.12847660499999988,0.2646232476824133,0.1516961523175867,0.23639147384120665,0.17992792615879336,0.24610113313638599,0.21500986686361445,0.2616467662727717,0.1994642337272287,0.269097,0.221354,0.269097,0.203993,0.269097,0.162326,0.269097,0.140625,0.269097,0.095486,0.269097,0.090278,0.24913200000000002
